id_abes	IDP
ABES3K81HZKQR	
ABES1CECJFVN4	
ABESDVR3XHMN4	http://sts.kedgebs.com/adfs/services/trust
ABES3JCCNVG3J	https://idp.nantes.archi.fr/idp/shibboleth
ABESC0FZ63UW4	https://idp.versailles.archi.fr/idp/shibboleth
ABESDIMH6P5PC	https://sts.windows.net/ea847b31-dc73-4e64-b8e9-54cb237688f3/
ABESUY4YT4HU4	
ABES4OQ3VB5K0	
ABESBE12ZMFTY	
ABES3YS5HJ99Z	https://shibboleth.grenoble.archi.fr/idp
ABES9959N3HBO	
ABESAEBA0Z2PY	
ABES9XM70Z658	
ABESBPT7OWKNM	https://sts.windows.net/0e0300d7-80a2-419f-a335-646daa467663/
ABESHZODG2BP4	https://shibboleth.ict-toulouse.fr/idp/shibboleth
ABESCS889C9NO	
ABESEU95VUDPC	https://idp.curie.fr/idp/saml2/metadata
ABESCDR9I52CC	https://idp-sciencespo-grenoble.renater.fr/idp/shibboleth
ABESA13I5Z6L9	https://idp.sciencespobordeaux.fr/idp/shibboleth
ABES8JADMJ29W	
ABESBLUKADAI3	
ABESBPO4HV3OB	
ABES3GY8OEGGD	
ABESKRZ5SY4PS	https://idp-irsn.renater.fr/idp/shibboleth
ABES9WQ7RQCLY	https://idp.normandie-univ.fr/idp/shibboleth
ABES4TE4Y17WS	
ABES3CL4CWDR4	
ABESIIRF3T7TM	
ABESCEEK7GEWE	https://sts.windows.net/672488e0-d004-4859-a645-9ecd3e55bf74/
ABESFMB2FP7PI	
ABESHVRCPNCWX	https://idp.sciencespo-lyon.fr/idp/shibboleth
ABESKBACPA6CD	
ABES8CR6NNH89	https://idp.synchrotron-soleil.fr/idp/shibboleth
ABES1GEH9CC8M	
ABESGUE8Y1CXP	https://idpr4.imtbs-tsp.eu/idp/shibboleth
ABESCLM4SNLP4	https://idp.u-bordeaux-montaigne.fr/idp/shibboleth
ABES5O8GGB6G3	https://ucoshib.uco.fr/idp/shibboleth
ABES9SY5TX4CX	https://id.ucly.fr/idp/shibboleth
ABES3QIE84A6C	
ABESFFP8NT99G	https://idp-feder.pleiade.education.fr/idp/
ABES1FL90SAB7	https://idp.supagro.fr/idp
ABESI2BIJBDVD	
ABESGZZDECDSE	https://idp.icn-artem.com/idp
ABESFGD2DTHTV	
ABES1IQI3JBHT	https://idp.ens-rennes.fr/idp/shibboleth
ABES9HA5XFGJ2	
ABESKAL1Q31LH	
ABES4GB70VH8R	
ABES3RVJRUFGO	
ABESGVW6HKIJT	https://srv-fii.insa-toulouse.fr/idp/shibboleth
ABESEII7WSID4	
ABES5PU2YK4QT	https://identification.univ-toulouse.fr
ABESC4H2J2721	https://idp.centralelille.fr/idp/shibboleth
ABES4HM3PZ1H2	https://sso-ciation-saclay.centralesupelec.fr/idp/shibboleth | https://sso-ciation-rennes.centralesupelec.fr/idp/shibboleth | https://sso-ciation-metz.centralesupelec.fr/idp/shibboleth
ABES4D78GY2ZL	
ABESZK7SWDSH6	
ABES6PUFG594Q	
ABES4PP4ULERG	
ABES3YN2MU5CZ	
ABES6XPCYRHNR	
ABESG9LLM5MO4	
ABESEUO9SM99R	
ABES3KO2GIA3U	
ABESF7CKE64CQ	
ABESB9YIO4FCG	
ABES3XP81VJ6H	
ABESICH2R3RA5	
ABES9EFHZ551J	
ABESD279QBBY4	
ABESA4IMO9XD4	https://idp4.cereq.fr/idp/shibboleth
ABESG3D1H75CS	
ABES3CA3OD4HA	
ABESC9Z4C3EBQ	
ABES8N85OU6ZV	https://idp.college-de-france.fr/idp/shibboleth
ABESAXC2B5AHV	https://idp.lecnam.net/idp/shibboleth
ABESJIPFZ4IAC	
ABESCD95CVHZQ	
